,id,genre,styles,uri
0,45000,['Electronic'],"['Psy-Trance', 'Progressive Trance']",https://i.discogs.com/d70uDA8ZDoy2B_-5id5NTbP06L7tF8CkBCAPNLgVpzg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg0MDU1/LTEyMDk5ODQ5NDcu/anBlZw.jpeg
1,45001,"['Electronic', 'Rock']","['Leftfield', 'Downtempo', 'Shoegaze']",https://i.discogs.com/Ywa0njXyOzAHDwKfQVYImtQ9YRdRM_XCz1guGYlRmIo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTk3NDU0/MC0xMjMxMTAzNTMy/LmpwZWc.jpeg
2,45002,['Pop'],"['Chanson', 'Vocal', 'Ballad']",https://i.discogs.com/SfPmqcFxsH1EftMrKv6kvP41CqqotSv4EOFJ4khtoxc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTExNDc2/OTQtMTMzMjEzMTE2/MS5qcGVn.jpeg
3,45003,['Electronic'],"['House', 'Tech House']",https://i.discogs.com/pzuCbnoIENW450KZnlF4MMAYRgibwa44ym_0a08GAiM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg3MjIw/LTE2MDEyMjc2MDQt/NjE0OC5qcGVn.jpeg
4,45004,['Electronic'],"['Gabber', 'Techno', 'Hard Trance', 'Hardcore', 'Acid']",https://i.discogs.com/haLLGfMeWSLmby6oqXUqmX3YBPBSKvJ_0GYnVSFxKtQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTg5MDAy/Ny0xMTgwMDMyMzgz/LmpwZWc.jpeg
5,45005,['Electronic'],"['Psy-Trance', 'Progressive Trance']",https://i.discogs.com/bUR0KJH9mIm99-1ye5RylQBrLNfIFDK9B5etzLTg4Sw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2Njk4/LTExMzQ4OTU0NzQu/anBlZw.jpeg
6,45006,['Electronic'],"['Dub', 'IDM', 'Synth-pop']",https://i.discogs.com/pzdgTmk9A_Pnoh_stUBBolu7T72n4ElLfnWKIs5gYfk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTczMTIt/MTI0OTg2Nzg4MS5q/cGVn.jpeg
7,45007,['Electronic'],['Goa Trance'],https://i.discogs.com/rZb2krV2vL_gui47eezAxmQ-LyCqznsX6qHuwk5O54E/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEzMDY3/MC0xMTQzNDgwNzU0/LmpwZWc.jpeg
8,45008,['Electronic'],['Drum n Bass'],https://i.discogs.com/n_ZIvrqqhYuVDxwQ0meZKoAsHzguIO3qb8rhhnY5VKg/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3NTI2/LTEyMDIxMzQyMzUu/anBlZw.jpeg
9,45009,['Electronic'],"['IDM', 'Ambient']",https://i.discogs.com/yed1Qt22FKZfbRmeWWnRSFqELpBF-2H9s0fF5culQiQ/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMTky/LTEzNzk0NDMyNjQt/NTM4Mi5qcGVn.jpeg
10,45010,['Electronic'],"['Breakbeat', 'Hardcore', 'Acid', 'Drum n Bass', 'Breakcore']",https://i.discogs.com/8J4Bh32cL0TIyGqBHQUWaVVg6ek0rmfXZDIBChPIlaw/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTc1ODEt/MTE2NzQ1MjMzNi5q/cGVn.jpeg
