dominant_r,dominant_g,dominant_b
135,104,90
212,164,147
112,110,101
211,208,202
47,42,46
116,112,98
93,111,113
183,160,114
117,108,107
162,162,162
75,95,91
73,73,74
52,42,33
166,166,166
125,128,141
115,101,107
186,187,196
171,167,164
141,156,172
181,181,181
115,120,124
119,91,69
154,146,158
65,24,17
100,100,100
153,152,152
175,162,146
185,79,79
45,43,43
170,168,167
166,132,102
141,128,104
143,128,125
52,54,63
96,82,78
156,148,140
94,110,136
52,25,15
112,87,54
98,94,80
104,108,118
188,139,56
88,77,69
179,96,77
127,114,106
139,132,133
108,83,75
192,161,54
120,128,126
179,154,110
86,66,56
72,64,55
117,98,53
107,131,154
195,187,175
115,115,113
32,3,8
175,145,126
181,105,78
171,134,94
91,69,67
57,54,65
164,118,79
213,207,200
114,107,95
207,197,185
81,78,66
138,75,62
150,149,149
128,81,82
132,96,74
135,130,123
92,93,94
69,67,53
195,191,157
129,101,91
90,79,69
118,104,76
124,115,103
91,85,83
115,90,80
129,119,103
173,144,60
92,46,42
155,127,94
92,69,76
102,95,83
132,87,70
190,159,137
54,36,34
184,175,167
93,64,57
126,92,81
63,37,24
114,91,81
79,55,50
84,65,77
135,114,108
122,105,85
64,55,60
155,147,137
76,56,42
176,94,93
128,86,45
87,69,55
113,98,95
92,64,64
158,157,156
93,92,81
101,100,103
151,118,129
166,146,132
57,31,23
86,76,51
146,130,137
149,121,120
103,102,101
142,125,99
80,63,55
171,128,98
122,87,85
104,76,52
35,36,36
174,171,174
148,101,126
128,128,122
175,158,153
117,120,127
119,112,107
139,152,148
89,71,80
136,120,103
132,84,68
126,108,81
134,104,70
79,60,62
92,80,74
134,122,105
121,99,94
81,57,51
174,160,153
68,69,74
95,86,92
109,83,77
147,140,112
107,83,74
112,101,115
109,82,67
87,76,74
129,134,132
88,89,83
88,55,49
120,118,119
38,36,34
134,123,119
116,91,77
110,105,90
134,121,116
126,143,157
136,89,67
134,118,96
89,70,63
124,107,97
219,65,123
146,137,136
126,162,203
37,37,39
199,177,143
74,43,31
103,73,78
123,106,91
137,95,95
143,142,76
61,47,63
144,140,137
86,80,81
128,111,106
118,80,85
51,47,60
62,50,43
64,47,36
139,78,42
53,48,47
164,121,98
148,132,59
188,77,60
138,79,65
174,166,150
58,56,52
108,65,43
97,72,62
97,64,56
100,110,112
180,164,139
118,70,80
244,53,52
225,221,214
146,135,145
77,90,103
107,90,83
55,50,52
168,130,89
158,142,118
81,83,74
115,105,97
190,140,131
117,116,100
73,68,67
109,125,137
111,85,81
108,122,146
132,147,148
120,108,109
101,88,89
147,101,100
185,174,174
104,102,106
129,117,117
91,92,103
110,118,111
167,129,88
154,108,71
169,115,101
79,95,85
72,78,65
83,115,117
162,177,185
120,111,107
104,73,56
95,53,50
121,78,74
122,85,47
86,49,50
180,168,167
105,111,111
57,52,78
190,142,97
145,134,123
129,122,123
152,149,134
123,129,129
74,75,78
108,103,101
125,112,106
113,114,113
127,108,100
107,103,109
96,96,130
57,95,87
186,81,56
165,174,177
155,104,107
78,70,46
112,71,92
157,99,72
128,123,121
127,97,94
177,163,156
68,60,40
152,125,125
187,190,195
184,142,117
126,106,101
133,87,64
202,86,58
104,103,77
69,75,85
99,81,69
199,170,149
100,76,71
194,141,105
41,10,8
98,100,82
180,189,187
133,131,131
113,85,65
105,104,108
156,109,149
128,103,101
149,116,122
190,182,176
166,121,113
114,105,115
133,150,166
79,94,99
59,47,46
158,159,162
87,86,80
63,66,69
162,128,130
83,73,77
116,110,84
91,84,101
134,114,109
115,98,94
162,135,125
122,82,56
130,129,132
41,41,44
29,12,7
153,108,74
152,122,118
125,121,104
96,57,47
98,118,115
107,100,101
105,79,64
165,158,157
71,53,49
89,90,92
107,46,37
117,94,88
152,81,74
78,63,72
193,170,158
26,16,9
148,52,29
88,75,71
195,193,185
21,12,10
94,67,48
103,85,75
81,94,74
75,84,74
36,21,22
52,52,53
138,134,129
136,98,96
81,81,80
137,111,108
142,87,65
33,26,18
137,114,102
120,95,76
93,92,64
98,77,60
138,134,134
35,40,43
106,92,87
121,111,109
96,67,67
158,116,150
149,119,99
48,55,35
106,74,60
172,146,129
49,63,73
105,74,69
33,33,33
156,144,143
108,99,88
34,25,31
182,133,109
98,77,57
109,122,124
109,81,112
223,218,198
76,108,135
179,179,179
97,63,47
96,103,107
172,163,161
63,63,68
109,82,52
139,135,134
90,81,94
93,82,95
95,103,115
128,125,125
96,77,97
77,101,102
147,132,133
36,34,20
94,91,67
43,46,45
81,120,117
103,105,104
133,70,107
109,95,82
113,99,97
56,33,25
157,57,63
64,64,63
141,118,105
184,180,169
140,105,64
111,90,84
108,123,113
123,110,121
105,80,80
102,96,94
152,111,101
163,151,97
119,104,95
135,107,84
62,56,49
117,107,82
162,154,144
109,80,49
88,84,72
128,98,71
100,99,100
118,103,92
102,98,113
194,173,152
74,66,60
111,93,88
122,117,47
165,143,116
100,72,74
164,158,153
80,47,29
128,91,68
54,47,50
140,119,98
77,71,66
63,67,64
52,48,36
50,61,59
109,119,123
152,135,103
36,47,60
65,55,48
112,91,89
105,101,100
141,96,76
87,85,71
204,183,194
112,79,50
150,96,79
82,80,81
129,111,100
123,48,28
153,141,144
124,87,62
167,143,121
106,86,74
205,101,32
138,122,113
106,90,83
98,103,108
95,84,77
116,99,59
147,130,127
108,107,107
85,84,83
84,108,106
118,87,72
120,109,103
96,85,77
221,95,136
123,105,134
113,55,43
77,58,55
65,46,23
112,69,54
80,73,75
83,80,93
168,115,80
191,170,153
43,128,184
67,55,43
134,102,88
158,116,86
108,88,66
37,44,61
30,57,80
149,118,109
171,137,105
162,153,141
100,81,67
172,149,131
88,72,74
148,95,78
162,95,73
61,70,64
109,85,80
163,89,80
102,112,108
118,102,75
46,27,31
64,54,53
190,61,21
43,59,67
97,93,77
133,75,31
75,71,73
41,39,30
72,41,29
63,66,75
83,65,59
87,86,78
136,108,102
92,83,75
126,105,95
77,68,80
186,165,146
113,113,106
104,115,111
176,170,163
67,155,202
150,147,149
122,115,99
137,136,140
147,87,55
111,93,86
48,34,38
135,121,120
63,60,56
106,100,84
123,115,112
170,145,164
101,58,46
206,192,184
82,67,62
155,133,121
143,139,122
77,63,72
81,69,68
104,109,99
99,136,175
178,164,136
69,68,69
124,124,124
166,143,102
99,61,59
153,118,79
189,160,141
139,160,135
67,55,42
172,164,155
110,104,96
110,102,95
146,88,55
142,141,127
190,170,166
182,166,164
71,64,54
103,80,82
141,127,123
138,121,97
120,102,79
120,97,76
149,135,119
199,193,188
157,126,106
193,182,182
212,200,177
191,126,128
187,167,144
162,156,152
158,120,102
188,186,178
144,91,79
107,106,112
59,35,24
140,109,102
87,96,122
114,100,87
36,43,62
214,156,121
138,97,71
137,139,130
55,73,115
134,84,67
67,61,53
131,148,143
118,98,95
124,105,90
149,158,137
46,39,94
125,109,85
87,79,76
144,123,87
189,93,63
61,39,24
131,82,74
91,110,98
111,102,117
133,94,77
140,141,126
143,109,77
130,110,90
141,142,139
153,131,108
121,110,103
214,201,197
134,129,126
210,188,165
214,163,130
34,34,70
172,152,154
118,108,104
114,99,103
159,156,143
86,86,83
180,159,146
146,125,100
104,42,33
198,162,128
147,110,77
77,78,81
56,45,38
126,88,57
89,76,71
123,122,119
90,57,56
151,121,113
117,147,92
137,121,94
213,127,114
183,165,152
181,143,102
67,69,68
136,115,111
136,124,104
138,129,125
83,67,40
187,152,140
82,85,79
109,101,89
80,76,78
103,89,72
75,78,78
92,95,101
157,156,149
146,123,99
173,175,171
149,126,116
188,84,44
79,133,174
93,102,112
122,49,17
81,76,71
154,148,143
228,229,230
107,81,68
21,15,14
162,165,150
134,121,97
132,130,135
121,90,59
91,88,85
81,89,111
158,127,119
106,89,65
132,84,65
119,81,59
57,55,78
74,154,161
147,85,79
159,143,127
126,126,127
123,103,104
158,149,143
25,12,17
136,115,106
122,114,102
51,50,54
92,86,85
180,166,144
109,105,109
122,92,92
88,58,47
165,118,91
196,182,171
58,54,54
117,103,78
125,110,106
150,149,145
91,91,72
118,111,111
95,79,68
113,74,51
123,83,30
92,67,69
140,131,119
153,124,119
121,87,69
91,68,58
46,42,36
128,126,124
156,145,138
58,65,72
223,220,200
61,61,69
152,106,118
38,37,36
70,56,46
167,156,145
25,23,24
222,108,72
127,84,80
151,130,139
108,107,112
144,119,114
95,98,105
173,173,173
111,113,119
141,86,65
159,142,140
97,96,93
40,40,33
55,56,47
242,237,190
141,125,113
54,54,54
176,162,152
136,144,146
146,136,139
118,138,119
88,75,83
56,55,67
83,75,83
180,149,78
113,98,93
36,37,50
114,65,70
144,110,80
194,188,177
70,70,66
146,105,105
98,103,95
199,183,160
165,143,121
135,150,149
183,158,144
121,107,82
201,168,140
124,73,66
161,148,146
132,148,167
103,102,111
58,42,37
43,50,62
216,200,189
98,90,102
127,132,142
173,97,47
135,115,106
141,91,62
148,116,107
105,105,105
158,129,90
182,184,184
126,121,115
185,128,105
61,56,68
178,162,161
63,53,52
73,138,165
135,123,120
122,95,80
167,155,149
55,46,43
135,126,117
131,138,111
114,50,54
170,156,148
113,89,74
166,150,129
82,39,19
19,16,16
123,129,94
176,134,131
178,149,124
148,103,86
83,59,49
123,107,96
120,63,57
137,123,126
199,189,186
114,121,94
126,109,106
166,157,150
96,95,95
130,123,117
208,189,188
132,109,96
168,129,117
105,156,168
117,153,177
153,113,106
118,97,88
174,154,146
41,36,41
192,168,160
64,32,24
171,171,171
183,162,129
169,142,152
174,142,172
92,52,51
100,98,96
127,82,72
124,103,92
110,79,72
93,89,86
88,67,64
81,75,68
81,41,45
78,74,71
145,135,125
145,108,104
145,133,121
131,107,96
97,89,75
174,115,104
105,94,132
115,95,67
79,67,68
69,45,36
110,95,84
189,104,66
140,88,46
145,145,154
133,68,53
193,171,111
183,176,172
155,134,127
169,143,64
103,102,103
87,72,66
114,126,116
149,139,143
201,141,58
127,116,117
61,60,66
227,95,45
161,136,114
49,80,91
65,64,54
81,59,48
49,139,211
76,55,46
93,79,53
110,82,82
108,94,85
87,98,111
137,109,89
219,189,169
115,88,71
117,113,98
149,95,48
63,41,49
126,140,141
137,115,121
138,135,139
149,138,144
190,141,70
66,55,55
121,102,97
187,170,160
107,100,75
94,83,102
126,102,101
120,128,136
119,98,92
89,90,86
82,81,63
167,143,136
137,75,19
96,102,111
109,108,107
144,149,114
119,139,125
79,57,48
137,101,79
108,71,52
59,59,58
153,85,127
134,117,105
98,59,45
109,96,70
151,129,91
120,86,58
133,139,121
61,36,52
142,93,60
120,96,74
203,152,114
133,132,131
92,115,92
171,139,101
138,118,90
73,65,48
87,131,134
49,41,38
136,110,85
93,133,137
100,112,107
77,129,208
147,136,149
92,75,63
120,125,120
134,79,69
123,102,94
177,137,113
150,72,77
180,157,109
195,164,127
154,137,113
57,38,40
194,174,142
160,164,117
90,96,71
75,58,47
125,104,108
45,37,56
107,119,120
80,128,164
167,158,151
68,53,51
162,112,87
144,135,128
107,104,110
142,92,65
118,82,68
81,81,73
93,84,56
138,146,153
89,83,85
36,83,94
112,105,100
28,14,7
57,138,186
81,27,21
106,95,93
181,148,140
109,98,84
165,120,97
62,54,49
142,102,65
198,134,60
164,156,154
155,131,109
119,89,61
152,114,91
102,92,78
148,130,107
129,103,102
80,102,135
108,103,102
115,101,96
141,119,99
98,99,101
220,206,184
80,84,85
141,100,68
37,53,46
73,62,50
119,110,88
64,53,47
54,48,43
144,136,131
85,43,28
208,203,185
57,74,117
113,72,72
72,62,83
107,147,137
113,98,88
87,56,34
141,108,76
96,74,65
77,65,62
107,66,50
221,168,71
111,106,103
81,80,80
75,83,76
155,109,106
121,106,101
157,155,132
131,114,94
192,184,182
149,144,142
196,121,103
123,123,132
79,79,79
129,88,59
139,91,68
87,87,86
75,125,123
130,137,148
159,90,61
111,112,111
175,112,82
94,89,81
41,25,23
181,157,139
100,104,111
61,54,45
71,90,68
60,68,75
70,70,66
169,144,129
121,98,70
158,120,67
95,65,31
85,79,87
96,84,77
116,29,26
160,145,132
45,37,34
86,70,95
147,142,133
216,190,190
75,69,71
128,104,97
163,124,98
148,134,137
62,58,51
105,85,86
93,81,75
151,104,60
