master_release,path,dominant_r,dominant_g,dominant_b,gender,age,dominant_race,emotion,Blues,Brass & Military,Children's,Classical,Electronic,"Folk, World, & Country",Funk&Soul,Hip Hop,Jazz,Latin,Non-Music,Pop,Reggae,Rock,Stage & Screen
2062405,Blues\2062405.jpeg,163,157,157,Man,25,black,"{'angry': 0.0033020762202795595, 'disgust': 1.9619449176389026e-06, 'fear': 0.02843259135261178, 'happy': 60.11151671409607, 'sad': 0.7110019214451313, 'surprise': 0.01818516611820087, 'neutral': 39.12755846977234}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202556,Blues\2202556.jpeg,133,102,96,Man,33,black,"{'angry': 6.379018723964691, 'disgust': 0.1416898099705577, 'fear': 85.47462821006775, 'happy': 0.621930044144392, 'sad': 5.012354999780655, 'surprise': 0.1414440106600523, 'neutral': 2.228936180472374}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238366,Blues\238366.jpeg,167,165,168,Man,22,black,"{'angry': 0.006250011938391253, 'disgust': 1.5074364824972653e-11, 'fear': 0.19506382523104548, 'happy': 0.009411405335413292, 'sad': 2.4212850257754326, 'surprise': 3.0096192205064654e-06, 'neutral': 97.36798405647278}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278155,Blues\278155.jpeg,73,72,72,Man,41,indian,"{'angry': 0.002766227953543421, 'disgust': 2.960862222067817e-07, 'fear': 0.0002759926019280101, 'happy': 99.39431548118591, 'sad': 0.05083768628537655, 'surprise': 4.140915521588795e-06, 'neutral': 0.5518052726984024}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303023,Blues\303023.jpeg,56,38,27,Man,28,black,"{'angry': 0.6714335177093744, 'disgust': 2.040233937350422e-05, 'fear': 0.4130755551159382, 'happy': 0.1405184157192707, 'sad': 84.89148616790771, 'surprise': 0.0020030482119182125, 'neutral': 13.881465792655945}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320158,Blues\320158.jpeg,130,127,136,Man,39,black,"{'angry': 1.3737450578814676, 'disgust': 1.7508012506541294e-06, 'fear': 0.6260113975690129, 'happy': 0.001668224814550228, 'sad': 13.835739930183896, 'surprise': 0.0020754861252152137, 'neutral': 84.16075299254024}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363428,Blues\363428.jpeg,137,95,107,Man,32,white,"{'angry': 2.472978046415928, 'disgust': 1.7585386640326667e-05, 'fear': 0.29356073940907357, 'happy': 1.2851249009344842e-05, 'sad': 88.21538020464064, 'surprise': 4.195987696487407e-08, 'neutral': 9.018050671699683}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379072,Blues\379072.jpeg,90,92,82,Man,33,black,"{'angry': 0.2520645968616009, 'disgust': 0.002055604818451684, 'fear': 1.6595231369137764, 'happy': 91.18860960006714, 'sad': 6.876432150602341, 'surprise': 0.0057182038290193304, 'neutral': 0.015595673175994307}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409544,Blues\409544.jpeg,118,106,95,Man,23,white,"{'angry': 1.1834599783098685, 'disgust': 0.0357023025024192, 'fear': 63.66047046544972, 'happy': 30.100559002194345, 'sad': 0.8834946495887428, 'surprise': 0.18058033805074322, 'neutral': 3.9557384822212747}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433401,Blues\433401.jpeg,115,95,81,Man,34,black,"{'angry': 2.3949425667524338, 'disgust': 3.545104121371878e-06, 'fear': 8.299291133880615, 'happy': 0.00027490154934639577, 'sad': 36.00270748138428, 'surprise': 5.732715635531349e-05, 'neutral': 53.30272316932678}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79723,Blues\79723.jpeg,102,93,85,Man,27,black,"{'angry': 19.705776870250702, 'disgust': 2.9188738093210986e-07, 'fear': 0.052259908989071846, 'happy': 1.2851402163505554, 'sad': 1.0996842756867409, 'surprise': 0.0002981533043566742, 'neutral': 77.85683870315552}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83959,Blues\83959.jpeg,118,136,146,Man,33,middle eastern,"{'angry': 1.8731882939948884e-05, 'disgust': 5.75404376525798e-09, 'fear': 0.15075943400021993, 'happy': 0.0009970834665590355, 'sad': 0.020692280446464147, 'surprise': 0.0001914511699823778, 'neutral': 99.82734321518798}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83967,Blues\83967.jpeg,133,104,92,Man,47,black,"{'angry': 0.00010192426923796021, 'disgust': 2.19457531904817e-06, 'fear': 0.2805855990922808, 'happy': 98.99203175258826, 'sad': 0.00636290607599168, 'surprise': 0.00025808530327947523, 'neutral': 0.7206583825146188}",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135343,Classical\135343.jpeg,218,210,207,Man,28,white,"{'angry': 0.3608313890300525, 'disgust': 2.7389344413699154e-06, 'fear': 75.00682175078133, 'happy': 0.4250457003658175, 'sad': 0.5278395325285754, 'surprise': 20.8289777244356, 'neutral': 2.850476312580548}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198786,Classical\198786.jpeg,133,130,99,Man,44,white,"{'angry': 11.923359334468842, 'disgust': 0.0026298048396711238, 'fear': 17.242062091827393, 'happy': 0.6020401138812304, 'sad': 2.5728948414325714, 'surprise': 27.129492163658142, 'neutral': 40.527522563934326}",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
