Hip Hop,gender,dominant_race,dominant_emotion
0.0,Man,white,neutral
0.0,Man,white,happy
0.0,Man,white,happy
0.0,Man,white,sad
0.0,Man,white,sad
0.0,Man,white,angry
0.0,Man,white,angry
0.0,Man,white,neutral
0.0,Man,black,angry
0.0,Man,white,happy
0.0,Man,white,neutral
0.0,Man,white,fear
0.0,Man,white,sad
0.0,Man,white,neutral
0.0,Man,white,neutral
0.0,Man,white,happy
0.0,Man,white,sad
0.0,Man,white,neutral
0.0,Man,white,happy
0.0,Man,white,sad
0.0,Man,white,fear
0.0,Man,white,happy
0.0,Man,white,sad
0.0,Man,middle eastern,neutral
0.0,Man,white,neutral
0.0,Man,middle eastern,happy
0.0,Man,white,sad
0.0,Woman,white,happy
0.0,Man,white,neutral
0.0,Woman,white,happy
0.0,Man,white,sad
0.0,Man,indian,fear
0.0,Man,white,sad
0.0,Man,white,happy
0.0,Man,middle eastern,sad
0.0,Man,white,sad
0.0,Man,middle eastern,happy
0.0,Man,white,sad
0.0,Man,white,neutral
0.0,Man,white,sad
0.0,Man,middle eastern,neutral
0.0,Man,white,happy
0.0,Man,white,neutral
0.0,Man,asian,sad
0.0,Man,latino hispanic,sad
0.0,Man,asian,surprise
0.0,Man,black,neutral
0.0,Woman,indian,neutral
0.0,Man,black,happy
0.0,Man,black,happy
0.0,Man,asian,happy
0.0,Woman,asian,neutral
0.0,Man,white,sad
0.0,Man,black,neutral
0.0,Man,latino hispanic,sad
0.0,Man,middle eastern,sad
0.0,Man,white,neutral
0.0,Man,black,neutral
0.0,Man,asian,neutral
0.0,Woman,white,fear
0.0,Man,asian,neutral
0.0,Woman,black,happy
0.0,Man,white,neutral
0.0,Man,asian,neutral
0.0,Man,black,neutral
0.0,Man,black,fear
0.0,Man,black,happy
0.0,Man,black,neutral
0.0,Woman,asian,happy
0.0,Man,black,fear
0.0,Man,black,sad
0.0,Man,white,neutral
0.0,Woman,black,happy
0.0,Man,asian,sad
0.0,Man,asian,sad
0.0,Man,black,happy
0.0,Man,white,angry
0.0,Man,middle eastern,happy
0.0,Man,white,neutral
0.0,Man,middle eastern,neutral
0.0,Man,latino hispanic,neutral
0.0,Man,black,neutral
0.0,Woman,black,neutral
0.0,Man,white,happy
0.0,Woman,white,neutral
0.0,Woman,white,neutral
0.0,Man,black,happy
0.0,Man,black,happy
0.0,Man,latino hispanic,angry
0.0,Man,middle eastern,neutral
0.0,Man,black,happy
0.0,Man,black,happy
0.0,Man,black,happy
0.0,Man,middle eastern,fear
0.0,Man,black,happy
0.0,Man,black,sad
0.0,Man,black,happy
0.0,Man,black,neutral
0.0,Woman,white,neutral
0.0,Man,white,surprise
0.0,Man,black,neutral
0.0,Man,white,neutral
0.0,Man,white,surprise
0.0,Woman,white,sad
0.0,Man,black,fear
0.0,Man,black,fear
0.0,Man,black,neutral
0.0,Man,middle eastern,neutral
0.0,Man,black,neutral
0.0,Man,black,neutral
0.0,Man,white,neutral
0.0,Woman,asian,fear
0.0,Man,black,neutral
0.0,Woman,white,happy
0.0,Man,middle eastern,sad
0.0,Man,asian,happy
0.0,Man,indian,sad
0.0,Man,black,neutral
0.0,Man,black,neutral
0.0,Woman,asian,sad
0.0,Man,black,neutral
0.0,Man,black,happy
0.0,Man,white,sad
0.0,Man,indian,sad
0.0,Woman,white,sad
0.0,Woman,latino hispanic,happy
0.0,Woman,white,neutral
0.0,Woman,latino hispanic,fear
0.0,Man,latino hispanic,happy
0.0,Woman,white,neutral
0.0,Woman,white,neutral
0.0,Woman,black,sad
0.0,Man,white,neutral
0.0,Man,black,neutral
0.0,Man,middle eastern,sad
0.0,Man,white,sad
0.0,Man,asian,fear
1.0,Man,black,fear
1.0,Man,middle eastern,sad
1.0,Woman,white,sad
1.0,Man,black,sad
1.0,Man,black,sad
1.0,Man,white,neutral
1.0,Man,latino hispanic,neutral
1.0,Woman,black,sad
1.0,Man,black,neutral
1.0,Man,black,sad
1.0,Man,black,angry
1.0,Man,white,sad
1.0,Man,black,neutral
1.0,Man,asian,neutral
1.0,Man,black,sad
1.0,Man,black,sad
1.0,Man,white,neutral
1.0,Man,white,neutral
1.0,Man,black,disgust
1.0,Man,black,angry
1.0,Man,latino hispanic,neutral
1.0,Man,asian,angry
1.0,Man,asian,happy
1.0,Man,white,neutral
1.0,Man,asian,neutral
1.0,Man,white,sad
1.0,Man,black,sad
1.0,Man,black,neutral
1.0,Man,middle eastern,fear
1.0,Man,middle eastern,neutral
1.0,Man,black,angry
1.0,Man,middle eastern,neutral
1.0,Man,black,sad
1.0,Man,black,sad
1.0,Man,black,neutral
1.0,Man,asian,angry
1.0,Man,middle eastern,sad
1.0,Man,black,sad
1.0,Man,black,neutral
1.0,Man,middle eastern,sad
1.0,Man,asian,neutral
1.0,Man,white,neutral
1.0,Man,middle eastern,neutral
1.0,Woman,latino hispanic,neutral
1.0,Woman,black,neutral
1.0,Man,white,sad
1.0,Man,white,neutral
1.0,Man,black,neutral
1.0,Man,middle eastern,fear
1.0,Man,white,fear
1.0,Man,white,neutral
1.0,Man,black,neutral
1.0,Man,black,happy
1.0,Man,black,neutral
1.0,Man,black,sad
1.0,Man,black,neutral
1.0,Man,black,neutral
1.0,Man,white,fear
1.0,Man,black,neutral
1.0,Man,white,happy
1.0,Man,middle eastern,angry
1.0,Man,black,sad
1.0,Man,black,neutral
1.0,Man,black,sad
1.0,Man,black,surprise
1.0,Man,asian,angry
1.0,Man,white,fear
1.0,Man,black,neutral
1.0,Man,black,neutral
1.0,Man,white,neutral
1.0,Man,asian,neutral
1.0,Man,middle eastern,sad
1.0,Man,white,angry
1.0,Man,black,neutral
1.0,Man,middle eastern,fear
1.0,Woman,black,neutral
1.0,Man,black,happy
1.0,Man,black,sad
1.0,Man,middle eastern,angry
1.0,Man,asian,neutral
1.0,Man,white,sad
1.0,Man,black,neutral
1.0,Man,white,neutral
1.0,Man,black,sad
1.0,Man,latino hispanic,sad
1.0,Man,black,angry
1.0,Man,black,neutral
1.0,Man,white,angry
1.0,Woman,white,neutral
